PWM Pin No., DC Slope, DC Intercept, Amp Slope, Amp Intercept
D0, 0.032857667, -0.047388515, 0.054358392, -0.009815028
D1, 0.032861749, -0.047585075, 0.054428610, -0.012564921
D7, 0.032861243, -0.047377958, 0.054412502, -0.013422474
D9, 0.032862318, -0.047752625, 0.054396959, -0.013064219
D10, 0.032859551, -0.048429000, 0.054425752, -0.013550408
D11, 0.032853827, -0.048496046, 0.054373397, -0.011410791
D11, 0.032856854, -0.048647203, 0.054387400, -0.012889812
D12, 0.032863139, -0.047788465, 0.054405986, -0.012670193
D13, 0.031966108, -0.044560055, 0.052917806, -0.009540145
D13, 0.031972231, -0.044880290, 0.052953325, -0.009583636
